ID,time,y1,censored,split,color,filter
NHP1,0,2.67761,1,All,#4682B4,0
NHP1,1,2.67761,1,All,#4682B4,0
NHP1,2,2.67761,1,All,#4682B4,0
NHP1,3,2.67761,1,All,#4682B4,0
NHP1,4,2.67761,1,All,#4682B4,0
NHP1,5,2.67761,1,All,#4682B4,0
NHP1,7,2.74353,0,All,#4682B4,0
NHP1,9,2.67761,1,All,#4682B4,0
NHP1,14,2.67761,1,All,#4682B4,0
NHP1,23,2.67761,1,All,#4682B4,0
NHP10,0,2.67761,1,All,#4682B4,0
NHP10,1,7.71503,0,All,#4682B4,0
NHP10,2,8.71934,0,All,#4682B4,0
NHP10,3,7.47225,0,All,#4682B4,0
NHP10,4,5.64034,0,All,#4682B4,0
NHP10,5,5.94617,0,All,#4682B4,0
NHP10,7,5.0449,0,All,#4682B4,0
NHP10,10,2.67761,1,All,#4682B4,0
NHP10,14,2.67761,1,All,#4682B4,0
NHP10,23,2.67761,1,All,#4682B4,0
NHP10,29,2.67761,1,All,#4682B4,0
NHP11,0,2.67761,1,All,#4682B4,0
NHP11,1,2.67761,1,All,#4682B4,0
NHP11,2,2.67761,1,All,#4682B4,0
NHP11,4,2.67761,1,All,#4682B4,0
NHP11,5,2.67761,1,All,#4682B4,0
NHP11,7,2.67761,1,All,#4682B4,0
NHP11,10,2.67761,1,All,#4682B4,0
NHP11,14,2.67761,1,All,#4682B4,0
NHP11,23,2.67761,1,All,#4682B4,0
NHP11,29,2.67761,1,All,#4682B4,0
NHP12,0,2.67761,1,All,#4682B4,0
NHP12,1,2.67761,1,All,#4682B4,0
NHP12,3,2.67761,1,All,#4682B4,0
NHP12,4,2.67761,1,All,#4682B4,0
NHP12,5,2.67761,1,All,#4682B4,0
NHP12,7,2.67761,1,All,#4682B4,0
NHP12,9,2.67761,1,All,#4682B4,0
NHP12,14,2.67761,1,All,#4682B4,0
NHP12,23,2.67761,1,All,#4682B4,0
NHP13,0,2.67761,1,All,#4682B4,0
NHP13,1,6.65098,0,All,#4682B4,0
NHP13,2,8.54889,0,All,#4682B4,0
NHP13,3,7.56087,0,All,#4682B4,0
NHP13,4,6.01597,0,All,#4682B4,0
NHP13,5,5.43551,0,All,#4682B4,0
NHP13,7,5.71643,0,All,#4682B4,0
NHP13,10,3.40076,0,All,#4682B4,0
NHP13,14,2.67761,1,All,#4682B4,0
NHP13,23,2.67761,1,All,#4682B4,0
NHP13,29,2.67761,1,All,#4682B4,0
NHP14,0,2.67761,1,All,#4682B4,0
NHP14,1,2.67761,1,All,#4682B4,0
NHP14,3,2.67761,1,All,#4682B4,0
NHP14,4,2.67761,1,All,#4682B4,0
NHP14,5,2.67761,1,All,#4682B4,0
NHP14,7,2.67761,1,All,#4682B4,0
